season,round,race_name,circuit_id,date,time,url
1974,5,Belgian Grand Prix,nivelles,1974-05-12,,https://en.wikipedia.org/wiki/1974_Belgian_Grand_Prix
1974,6,Monaco Grand Prix,monaco,1974-05-26,,https://en.wikipedia.org/wiki/1974_Monaco_Grand_Prix
1974,7,Swedish Grand Prix,anderstorp,1974-06-09,,https://en.wikipedia.org/wiki/1974_Swedish_Grand_Prix
1974,8,Dutch Grand Prix,zandvoort,1974-06-23,,https://en.wikipedia.org/wiki/1974_Dutch_Grand_Prix
1974,9,French Grand Prix,dijon,1974-07-07,,https://en.wikipedia.org/wiki/1974_French_Grand_Prix
1974,10,British Grand Prix,brands_hatch,1974-07-20,,https://en.wikipedia.org/wiki/1974_British_Grand_Prix
1974,11,German Grand Prix,nurburgring,1974-08-04,,https://en.wikipedia.org/wiki/1974_German_Grand_Prix
1974,12,Austrian Grand Prix,red_bull_ring,1974-08-18,,https://en.wikipedia.org/wiki/1974_Austrian_Grand_Prix
1974,13,Italian Grand Prix,monza,1974-09-08,,https://en.wikipedia.org/wiki/1974_Italian_Grand_Prix
1974,14,Canadian Grand Prix,mosport,1974-09-22,,https://en.wikipedia.org/wiki/1974_Canadian_Grand_Prix
1974,15,United States Grand Prix,watkins_glen,1974-10-06,,https://en.wikipedia.org/wiki/1974_United_States_Grand_Prix
1975,1,Argentine Grand Prix,galvez,1975-01-12,,https://en.wikipedia.org/wiki/1975_Argentine_Grand_Prix
1975,2,Brazilian Grand Prix,interlagos,1975-01-26,,https://en.wikipedia.org/wiki/1975_Brazilian_Grand_Prix
1975,3,South African Grand Prix,kyalami,1975-03-01,,https://en.wikipedia.org/wiki/1975_South_African_Grand_Prix
1975,4,Spanish Grand Prix,montjuic,1975-04-27,,https://en.wikipedia.org/wiki/1975_Spanish_Grand_Prix
1975,5,Monaco Grand Prix,monaco,1975-05-11,,https://en.wikipedia.org/wiki/1975_Monaco_Grand_Prix
1975,6,Belgian Grand Prix,zolder,1975-05-25,,https://en.wikipedia.org/wiki/1975_Belgian_Grand_Prix
1975,7,Swedish Grand Prix,anderstorp,1975-06-08,,https://en.wikipedia.org/wiki/1975_Swedish_Grand_Prix
1975,8,Dutch Grand Prix,zandvoort,1975-06-22,,https://en.wikipedia.org/wiki/1975_Dutch_Grand_Prix
1975,9,French Grand Prix,ricard,1975-07-06,,https://en.wikipedia.org/wiki/1975_French_Grand_Prix
1975,10,British Grand Prix,silverstone,1975-07-19,,https://en.wikipedia.org/wiki/1975_British_Grand_Prix
1975,11,German Grand Prix,nurburgring,1975-08-03,,https://en.wikipedia.org/wiki/1975_German_Grand_Prix
1975,12,Austrian Grand Prix,red_bull_ring,1975-08-17,,https://en.wikipedia.org/wiki/1975_Austrian_Grand_Prix
1975,13,Italian Grand Prix,monza,1975-09-07,,https://en.wikipedia.org/wiki/1975_Italian_Grand_Prix
1975,14,United States Grand Prix,watkins_glen,1975-10-05,,https://en.wikipedia.org/wiki/1975_United_States_Grand_Prix
1976,1,Brazilian Grand Prix,interlagos,1976-01-25,,https://en.wikipedia.org/wiki/1976_Brazilian_Grand_Prix
1976,2,South African Grand Prix,kyalami,1976-03-06,,https://en.wikipedia.org/wiki/1976_South_African_Grand_Prix
1976,3,United States Grand Prix West,long_beach,1976-03-28,,https://en.wikipedia.org/wiki/1976_United_States_Grand_Prix_West
1976,4,Spanish Grand Prix,jarama,1976-05-02,,https://en.wikipedia.org/wiki/1976_Spanish_Grand_Prix
1976,5,Belgian Grand Prix,zolder,1976-05-16,,https://en.wikipedia.org/wiki/1976_Belgian_Grand_Prix
1976,6,Monaco Grand Prix,monaco,1976-05-30,,https://en.wikipedia.org/wiki/1976_Monaco_Grand_Prix
1976,7,Swedish Grand Prix,anderstorp,1976-06-13,,https://en.wikipedia.org/wiki/1976_Swedish_Grand_Prix
1976,8,French Grand Prix,ricard,1976-07-04,,https://en.wikipedia.org/wiki/1976_French_Grand_Prix
1976,9,British Grand Prix,brands_hatch,1976-07-18,,https://en.wikipedia.org/wiki/1976_British_Grand_Prix
1976,10,German Grand Prix,nurburgring,1976-08-01,,https://en.wikipedia.org/wiki/1976_German_Grand_Prix
1976,11,Austrian Grand Prix,red_bull_ring,1976-08-15,,https://en.wikipedia.org/wiki/1976_Austrian_Grand_Prix
1976,12,Dutch Grand Prix,zandvoort,1976-08-29,,https://en.wikipedia.org/wiki/1976_Dutch_Grand_Prix
1976,13,Italian Grand Prix,monza,1976-09-12,,https://en.wikipedia.org/wiki/1976_Italian_Grand_Prix
1976,14,Canadian Grand Prix,mosport,1976-10-03,,https://en.wikipedia.org/wiki/1976_Canadian_Grand_Prix
1976,15,United States Grand Prix,watkins_glen,1976-10-10,,https://en.wikipedia.org/wiki/1976_United_States_Grand_Prix
1976,16,Japanese Grand Prix,fuji,1976-10-24,,https://en.wikipedia.org/wiki/1976_Japanese_Grand_Prix
1977,1,Argentine Grand Prix,galvez,1977-01-09,,https://en.wikipedia.org/wiki/1977_Argentine_Grand_Prix
1977,2,Brazilian Grand Prix,interlagos,1977-01-23,,https://en.wikipedia.org/wiki/1977_Brazilian_Grand_Prix
1977,3,South African Grand Prix,kyalami,1977-03-05,,https://en.wikipedia.org/wiki/1977_South_African_Grand_Prix
1977,4,United States Grand Prix West,long_beach,1977-04-03,,https://en.wikipedia.org/wiki/1977_United_States_Grand_Prix_West
1977,5,Spanish Grand Prix,jarama,1977-05-08,,https://en.wikipedia.org/wiki/1977_Spanish_Grand_Prix
1977,6,Monaco Grand Prix,monaco,1977-05-22,,https://en.wikipedia.org/wiki/1977_Monaco_Grand_Prix
1977,7,Belgian Grand Prix,zolder,1977-06-05,,https://en.wikipedia.org/wiki/1977_Belgian_Grand_Prix
1977,8,Swedish Grand Prix,anderstorp,1977-06-19,,https://en.wikipedia.org/wiki/1977_Swedish_Grand_Prix
1977,9,French Grand Prix,dijon,1977-07-03,,https://en.wikipedia.org/wiki/1977_French_Grand_Prix
1977,10,British Grand Prix,silverstone,1977-07-16,,https://en.wikipedia.org/wiki/1977_British_Grand_Prix
1977,11,German Grand Prix,hockenheimring,1977-07-31,,https://en.wikipedia.org/wiki/1977_German_Grand_Prix
1977,12,Austrian Grand Prix,red_bull_ring,1977-08-14,,https://en.wikipedia.org/wiki/1977_Austrian_Grand_Prix
1977,13,Dutch Grand Prix,zandvoort,1977-08-28,,https://en.wikipedia.org/wiki/1977_Dutch_Grand_Prix
1977,14,Italian Grand Prix,monza,1977-09-11,,https://en.wikipedia.org/wiki/1977_Italian_Grand_Prix
1977,15,United States Grand Prix,watkins_glen,1977-10-02,,https://en.wikipedia.org/wiki/1977_United_States_Grand_Prix
1977,16,Canadian Grand Prix,mosport,1977-10-09,,https://en.wikipedia.org/wiki/1977_Canadian_Grand_Prix
1977,17,Japanese Grand Prix,fuji,1977-10-23,,https://en.wikipedia.org/wiki/1977_Japanese_Grand_Prix
1978,1,Argentine Grand Prix,galvez,1978-01-15,,https://en.wikipedia.org/wiki/1978_Argentine_Grand_Prix
1978,2,Brazilian Grand Prix,jacarepagua,1978-01-29,,https://en.wikipedia.org/wiki/1978_Brazilian_Grand_Prix
1978,3,South African Grand Prix,kyalami,1978-03-04,,https://en.wikipedia.org/wiki/1978_South_African_Grand_Prix
1978,4,United States Grand Prix West,long_beach,1978-04-02,,https://en.wikipedia.org/wiki/1978_United_States_Grand_Prix_West
1978,5,Monaco Grand Prix,monaco,1978-05-07,,https://en.wikipedia.org/wiki/1978_Monaco_Grand_Prix
1978,6,Belgian Grand Prix,zolder,1978-05-21,,https://en.wikipedia.org/wiki/1978_Belgian_Grand_Prix
1978,7,Spanish Grand Prix,jarama,1978-06-04,,https://en.wikipedia.org/wiki/1978_Spanish_Grand_Prix
1978,8,Swedish Grand Prix,anderstorp,1978-06-17,,https://en.wikipedia.org/wiki/1978_Swedish_Grand_Prix
1978,9,French Grand Prix,ricard,1978-07-02,,https://en.wikipedia.org/wiki/1978_French_Grand_Prix
1978,10,British Grand Prix,brands_hatch,1978-07-16,,https://en.wikipedia.org/wiki/1978_British_Grand_Prix
1978,11,German Grand Prix,hockenheimring,1978-07-30,,https://en.wikipedia.org/wiki/1978_German_Grand_Prix
1978,12,Austrian Grand Prix,red_bull_ring,1978-08-13,,https://en.wikipedia.org/wiki/1978_Austrian_Grand_Prix
1978,13,Dutch Grand Prix,zandvoort,1978-08-27,,https://en.wikipedia.org/wiki/1978_Dutch_Grand_Prix
1978,14,Italian Grand Prix,monza,1978-09-10,,https://en.wikipedia.org/wiki/1978_Italian_Grand_Prix
1978,15,United States Grand Prix,watkins_glen,1978-10-01,,https://en.wikipedia.org/wiki/1978_United_States_Grand_Prix
1978,16,Canadian Grand Prix,villeneuve,1978-10-08,,https://en.wikipedia.org/wiki/1978_Canadian_Grand_Prix
1979,1,Argentine Grand Prix,galvez,1979-01-21,,https://en.wikipedia.org/wiki/1979_Argentine_Grand_Prix
1979,2,Brazilian Grand Prix,interlagos,1979-02-04,,https://en.wikipedia.org/wiki/1979_Brazilian_Grand_Prix
1979,3,South African Grand Prix,kyalami,1979-03-03,,https://en.wikipedia.org/wiki/1979_South_African_Grand_Prix
1979,4,United States Grand Prix West,long_beach,1979-04-08,,https://en.wikipedia.org/wiki/1979_United_States_Grand_Prix_West
1979,5,Spanish Grand Prix,jarama,1979-04-29,,https://en.wikipedia.org/wiki/1979_Spanish_Grand_Prix
1979,6,Belgian Grand Prix,zolder,1979-05-13,,https://en.wikipedia.org/wiki/1979_Belgian_Grand_Prix
1979,7,Monaco Grand Prix,monaco,1979-05-27,,https://en.wikipedia.org/wiki/1979_Monaco_Grand_Prix
1979,8,French Grand Prix,dijon,1979-07-01,,https://en.wikipedia.org/wiki/1979_French_Grand_Prix
1979,9,British Grand Prix,silverstone,1979-07-14,,https://en.wikipedia.org/wiki/1979_British_Grand_Prix
1979,10,German Grand Prix,hockenheimring,1979-07-29,,https://en.wikipedia.org/wiki/1979_German_Grand_Prix
1979,11,Austrian Grand Prix,red_bull_ring,1979-08-12,,https://en.wikipedia.org/wiki/1979_Austrian_Grand_Prix
1979,12,Dutch Grand Prix,zandvoort,1979-08-26,,https://en.wikipedia.org/wiki/1979_Dutch_Grand_Prix
1979,13,Italian Grand Prix,monza,1979-09-09,,https://en.wikipedia.org/wiki/1979_Italian_Grand_Prix
1979,14,Canadian Grand Prix,villeneuve,1979-09-30,,https://en.wikipedia.org/wiki/1979_Canadian_Grand_Prix
1979,15,United States Grand Prix,watkins_glen,1979-10-07,,https://en.wikipedia.org/wiki/1979_United_States_Grand_Prix
1980,1,Argentine Grand Prix,galvez,1980-01-13,,https://en.wikipedia.org/wiki/1980_Argentine_Grand_Prix
1980,2,Brazilian Grand Prix,interlagos,1980-01-27,,https://en.wikipedia.org/wiki/1980_Brazilian_Grand_Prix
1980,3,South African Grand Prix,kyalami,1980-03-01,,https://en.wikipedia.org/wiki/1980_South_African_Grand_Prix
1980,4,United States Grand Prix West,long_beach,1980-03-30,,https://en.wikipedia.org/wiki/1980_United_States_Grand_Prix_West
1980,5,Belgian Grand Prix,zolder,1980-05-04,,https://en.wikipedia.org/wiki/1980_Belgian_Grand_Prix
1980,6,Monaco Grand Prix,monaco,1980-05-18,,https://en.wikipedia.org/wiki/1980_Monaco_Grand_Prix
1980,7,French Grand Prix,ricard,1980-06-29,,https://en.wikipedia.org/wiki/1980_French_Grand_Prix
1980,8,British Grand Prix,brands_hatch,1980-07-13,,https://en.wikipedia.org/wiki/1980_British_Grand_Prix
1980,9,German Grand Prix,hockenheimring,1980-08-10,,https://en.wikipedia.org/wiki/1980_German_Grand_Prix
1980,10,Austrian Grand Prix,red_bull_ring,1980-08-17,,https://en.wikipedia.org/wiki/1980_Austrian_Grand_Prix
1980,11,Dutch Grand Prix,zandvoort,1980-08-31,,https://en.wikipedia.org/wiki/1980_Dutch_Grand_Prix
1980,12,Italian Grand Prix,imola,1980-09-14,,https://en.wikipedia.org/wiki/1980_Italian_Grand_Prix
1980,13,Canadian Grand Prix,villeneuve,1980-09-28,,https://en.wikipedia.org/wiki/1980_Canadian_Grand_Prix
1980,14,United States Grand Prix,watkins_glen,1980-10-05,,https://en.wikipedia.org/wiki/1980_United_States_Grand_Prix
1981,1,United States Grand Prix West,long_beach,1981-03-15,,https://en.wikipedia.org/wiki/1981_United_States_Grand_Prix_West
1981,2,Brazilian Grand Prix,jacarepagua,1981-03-29,,https://en.wikipedia.org/wiki/1981_Brazilian_Grand_Prix
1981,3,Argentine Grand Prix,galvez,1981-04-12,,https://en.wikipedia.org/wiki/1981_Argentine_Grand_Prix
1981,4,San Marino Grand Prix,imola,1981-05-03,,https://en.wikipedia.org/wiki/1981_San_Marino_Grand_Prix
1981,5,Belgian Grand Prix,zolder,1981-05-17,,https://en.wikipedia.org/wiki/1981_Belgian_Grand_Prix
1981,6,Monaco Grand Prix,monaco,1981-05-31,,https://en.wikipedia.org/wiki/1981_Monaco_Grand_Prix
1981,7,Spanish Grand Prix,jarama,1981-06-21,,https://en.wikipedia.org/wiki/1981_Spanish_Grand_Prix
1981,8,French Grand Prix,dijon,1981-07-05,,https://en.wikipedia.org/wiki/1981_French_Grand_Prix
1981,9,British Grand Prix,silverstone,1981-07-18,,https://en.wikipedia.org/wiki/1981_British_Grand_Prix
1981,10,German Grand Prix,hockenheimring,1981-08-02,,https://en.wikipedia.org/wiki/1981_German_Grand_Prix
1981,11,Austrian Grand Prix,red_bull_ring,1981-08-16,,https://en.wikipedia.org/wiki/1981_Austrian_Grand_Prix
1981,12,Dutch Grand Prix,zandvoort,1981-08-30,,https://en.wikipedia.org/wiki/1981_Dutch_Grand_Prix
1981,13,Italian Grand Prix,monza,1981-09-13,,https://en.wikipedia.org/wiki/1981_Italian_Grand_Prix
1981,14,Canadian Grand Prix,villeneuve,1981-09-27,,https://en.wikipedia.org/wiki/1981_Canadian_Grand_Prix
1981,15,Caesars Palace Grand Prix,las_vegas,1981-10-17,,https://en.wikipedia.org/wiki/1981_Caesars_Palace_Grand_Prix
1982,1,South African Grand Prix,kyalami,1982-01-23,,https://en.wikipedia.org/wiki/1982_South_African_Grand_Prix
1982,2,Brazilian Grand Prix,jacarepagua,1982-03-21,,https://en.wikipedia.org/wiki/1982_Brazilian_Grand_Prix
1982,3,United States Grand Prix West,long_beach,1982-04-04,,https://en.wikipedia.org/wiki/1982_United_States_Grand_Prix_West
1982,4,San Marino Grand Prix,imola,1982-04-25,,https://en.wikipedia.org/wiki/1982_San_Marino_Grand_Prix
1982,5,Belgian Grand Prix,zolder,1982-05-09,,https://en.wikipedia.org/wiki/1982_Belgian_Grand_Prix
1982,6,Monaco Grand Prix,monaco,1982-05-23,,https://en.wikipedia.org/wiki/1982_Monaco_Grand_Prix
1982,7,Detroit Grand Prix,detroit,1982-06-06,,https://en.wikipedia.org/wiki/1982_Detroit_Grand_Prix
1982,8,Canadian Grand Prix,villeneuve,1982-06-13,,https://en.wikipedia.org/wiki/1982_Canadian_Grand_Prix
1982,9,Dutch Grand Prix,zandvoort,1982-07-03,,https://en.wikipedia.org/wiki/1982_Dutch_Grand_Prix
1982,10,British Grand Prix,brands_hatch,1982-07-18,,https://en.wikipedia.org/wiki/1982_British_Grand_Prix
1982,11,French Grand Prix,ricard,1982-07-25,,https://en.wikipedia.org/wiki/1982_French_Grand_Prix
1982,12,German Grand Prix,hockenheimring,1982-08-08,,https://en.wikipedia.org/wiki/1982_German_Grand_Prix
1982,13,Austrian Grand Prix,red_bull_ring,1982-08-15,,https://en.wikipedia.org/wiki/1982_Austrian_Grand_Prix
1982,14,Swiss Grand Prix,dijon,1982-08-29,,https://en.wikipedia.org/wiki/1982_Swiss_Grand_Prix
1982,15,Italian Grand Prix,monza,1982-09-12,,https://en.wikipedia.org/wiki/1982_Italian_Grand_Prix
1982,16,Caesars Palace Grand Prix,las_vegas,1982-09-25,,https://en.wikipedia.org/wiki/1982_Caesars_Palace_Grand_Prix
1983,1,Brazilian Grand Prix,jacarepagua,1983-03-13,,https://en.wikipedia.org/wiki/1983_Brazilian_Grand_Prix
1983,2,United States Grand Prix West,long_beach,1983-03-27,,https://en.wikipedia.org/wiki/1983_United_States_Grand_Prix_West
1983,3,French Grand Prix,ricard,1983-04-17,,https://en.wikipedia.org/wiki/1983_French_Grand_Prix
1983,4,San Marino Grand Prix,imola,1983-05-01,,https://en.wikipedia.org/wiki/1983_San_Marino_Grand_Prix
1983,5,Monaco Grand Prix,monaco,1983-05-15,,https://en.wikipedia.org/wiki/1983_Monaco_Grand_Prix
1983,6,Belgian Grand Prix,spa,1983-05-22,,https://en.wikipedia.org/wiki/1983_Belgian_Grand_Prix
1983,7,Detroit Grand Prix,detroit,1983-06-05,,https://en.wikipedia.org/wiki/1983_Detroit_Grand_Prix
1983,8,Canadian Grand Prix,villeneuve,1983-06-12,,https://en.wikipedia.org/wiki/1983_Canadian_Grand_Prix
1983,9,British Grand Prix,silverstone,1983-07-16,,https://en.wikipedia.org/wiki/1983_British_Grand_Prix
1983,10,German Grand Prix,hockenheimring,1983-08-07,,https://en.wikipedia.org/wiki/1983_German_Grand_Prix
1983,11,Austrian Grand Prix,red_bull_ring,1983-08-14,,https://en.wikipedia.org/wiki/1983_Austrian_Grand_Prix
1983,12,Dutch Grand Prix,zandvoort,1983-08-28,,https://en.wikipedia.org/wiki/1983_Dutch_Grand_Prix
1983,13,Italian Grand Prix,monza,1983-09-11,,https://en.wikipedia.org/wiki/1983_Italian_Grand_Prix
1983,14,European Grand Prix,brands_hatch,1983-09-25,,https://en.wikipedia.org/wiki/1983_European_Grand_Prix
1983,15,South African Grand Prix,kyalami,1983-10-15,,https://en.wikipedia.org/wiki/1983_South_African_Grand_Prix
1984,1,Brazilian Grand Prix,jacarepagua,1984-03-25,,https://en.wikipedia.org/wiki/1984_Brazilian_Grand_Prix
1984,2,South African Grand Prix,kyalami,1984-04-07,,https://en.wikipedia.org/wiki/1984_South_African_Grand_Prix
1984,3,Belgian Grand Prix,zolder,1984-04-29,,https://en.wikipedia.org/wiki/1984_Belgian_Grand_Prix
1984,4,San Marino Grand Prix,imola,1984-05-06,,https://en.wikipedia.org/wiki/1984_San_Marino_Grand_Prix
1984,5,French Grand Prix,dijon,1984-05-20,,https://en.wikipedia.org/wiki/1984_French_Grand_Prix
1984,6,Monaco Grand Prix,monaco,1984-06-03,,https://en.wikipedia.org/wiki/1984_Monaco_Grand_Prix
1984,7,Canadian Grand Prix,villeneuve,1984-06-17,,https://en.wikipedia.org/wiki/1984_Canadian_Grand_Prix
1984,8,Detroit Grand Prix,detroit,1984-06-24,,https://en.wikipedia.org/wiki/1984_Detroit_Grand_Prix
1984,9,Dallas Grand Prix,dallas,1984-07-08,,https://en.wikipedia.org/wiki/1984_Dallas_Grand_Prix
1984,10,British Grand Prix,brands_hatch,1984-07-22,,https://en.wikipedia.org/wiki/1984_British_Grand_Prix
1984,11,German Grand Prix,hockenheimring,1984-08-05,,https://en.wikipedia.org/wiki/1984_German_Grand_Prix
1984,12,Austrian Grand Prix,red_bull_ring,1984-08-19,,https://en.wikipedia.org/wiki/1984_Austrian_Grand_Prix
1984,13,Dutch Grand Prix,zandvoort,1984-08-26,,https://en.wikipedia.org/wiki/1984_Dutch_Grand_Prix
1984,14,Italian Grand Prix,monza,1984-09-09,,https://en.wikipedia.org/wiki/1984_Italian_Grand_Prix
1984,15,European Grand Prix,nurburgring,1984-10-07,,https://en.wikipedia.org/wiki/1984_European_Grand_Prix
1984,16,Portuguese Grand Prix,estoril,1984-10-21,,https://en.wikipedia.org/wiki/1984_Portuguese_Grand_Prix
1985,1,Brazilian Grand Prix,jacarepagua,1985-04-07,,https://en.wikipedia.org/wiki/1985_Brazilian_Grand_Prix
1985,2,Portuguese Grand Prix,estoril,1985-04-21,,https://en.wikipedia.org/wiki/1985_Portuguese_Grand_Prix
1985,3,San Marino Grand Prix,imola,1985-05-05,,https://en.wikipedia.org/wiki/1985_San_Marino_Grand_Prix
1985,4,Monaco Grand Prix,monaco,1985-05-19,,https://en.wikipedia.org/wiki/1985_Monaco_Grand_Prix
1985,5,Canadian Grand Prix,villeneuve,1985-06-16,,https://en.wikipedia.org/wiki/1985_Canadian_Grand_Prix
1985,6,Detroit Grand Prix,detroit,1985-06-23,,https://en.wikipedia.org/wiki/1985_Detroit_Grand_Prix
1985,7,French Grand Prix,ricard,1985-07-07,,https://en.wikipedia.org/wiki/1985_French_Grand_Prix
1985,8,British Grand Prix,silverstone,1985-07-21,,https://en.wikipedia.org/wiki/1985_British_Grand_Prix
1985,9,German Grand Prix,nurburgring,1985-08-04,,https://en.wikipedia.org/wiki/1985_German_Grand_Prix
1985,10,Austrian Grand Prix,red_bull_ring,1985-08-18,,https://en.wikipedia.org/wiki/1985_Austrian_Grand_Prix
1985,11,Dutch Grand Prix,zandvoort,1985-08-25,,https://en.wikipedia.org/wiki/1985_Dutch_Grand_Prix
1985,12,Italian Grand Prix,monza,1985-09-08,,https://en.wikipedia.org/wiki/1985_Italian_Grand_Prix
1985,13,Belgian Grand Prix,spa,1985-09-15,,https://en.wikipedia.org/wiki/1985_Belgian_Grand_Prix
1985,14,European Grand Prix,brands_hatch,1985-10-06,,https://en.wikipedia.org/wiki/1985_European_Grand_Prix
1985,15,South African Grand Prix,kyalami,1985-10-19,,https://en.wikipedia.org/wiki/1985_South_African_Grand_Prix
1985,16,Australian Grand Prix,adelaide,1985-11-03,,https://en.wikipedia.org/wiki/1985_Australian_Grand_Prix
1986,1,Brazilian Grand Prix,jacarepagua,1986-03-23,,https://en.wikipedia.org/wiki/1986_Brazilian_Grand_Prix
1986,2,Spanish Grand Prix,jerez,1986-04-13,,https://en.wikipedia.org/wiki/1986_Spanish_Grand_Prix
1986,3,San Marino Grand Prix,imola,1986-04-27,,https://en.wikipedia.org/wiki/1986_San_Marino_Grand_Prix
1986,4,Monaco Grand Prix,monaco,1986-05-11,,https://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix
1986,5,Belgian Grand Prix,spa,1986-05-25,,https://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix
1986,6,Canadian Grand Prix,villeneuve,1986-06-15,,https://en.wikipedia.org/wiki/1986_Canadian_Grand_Prix
1986,7,Detroit Grand Prix,detroit,1986-06-22,,https://en.wikipedia.org/wiki/1986_Detroit_Grand_Prix
1986,8,French Grand Prix,ricard,1986-07-06,,https://en.wikipedia.org/wiki/1986_French_Grand_Prix
1986,9,British Grand Prix,brands_hatch,1986-07-13,,https://en.wikipedia.org/wiki/1986_British_Grand_Prix
1986,10,German Grand Prix,hockenheimring,1986-07-27,,https://en.wikipedia.org/wiki/1986_German_Grand_Prix
1986,11,Hungarian Grand Prix,hungaroring,1986-08-10,,https://en.wikipedia.org/wiki/1986_Hungarian_Grand_Prix
1986,12,Austrian Grand Prix,red_bull_ring,1986-08-17,,https://en.wikipedia.org/wiki/1986_Austrian_Grand_Prix
1986,13,Italian Grand Prix,monza,1986-09-07,,https://en.wikipedia.org/wiki/1986_Italian_Grand_Prix
1986,14,Portuguese Grand Prix,estoril,1986-09-21,,https://en.wikipedia.org/wiki/1986_Portuguese_Grand_Prix
1986,15,Mexican Grand Prix,rodriguez,1986-10-12,,https://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix
1986,16,Australian Grand Prix,adelaide,1986-10-26,,https://en.wikipedia.org/wiki/1986_Australian_Grand_Prix
1987,1,Brazilian Grand Prix,jacarepagua,1987-04-12,,https://en.wikipedia.org/wiki/1987_Brazilian_Grand_Prix
1987,2,San Marino Grand Prix,imola,1987-05-03,,https://en.wikipedia.org/wiki/1987_San_Marino_Grand_Prix
1987,3,Belgian Grand Prix,spa,1987-05-17,,https://en.wikipedia.org/wiki/1987_Belgian_Grand_Prix
1987,4,Monaco Grand Prix,monaco,1987-05-31,,https://en.wikipedia.org/wiki/1987_Monaco_Grand_Prix
1987,5,Detroit Grand Prix,detroit,1987-06-21,,https://en.wikipedia.org/wiki/1987_Detroit_Grand_Prix
1987,6,French Grand Prix,ricard,1987-07-05,,https://en.wikipedia.org/wiki/1987_French_Grand_Prix
1987,7,British Grand Prix,silverstone,1987-07-12,,https://en.wikipedia.org/wiki/1987_British_Grand_Prix
1987,8,German Grand Prix,hockenheimring,1987-07-26,,https://en.wikipedia.org/wiki/1987_German_Grand_Prix
1987,9,Hungarian Grand Prix,hungaroring,1987-08-09,,https://en.wikipedia.org/wiki/1987_Hungarian_Grand_Prix
1987,10,Austrian Grand Prix,red_bull_ring,1987-08-16,,https://en.wikipedia.org/wiki/1987_Austrian_Grand_Prix
1987,11,Italian Grand Prix,monza,1987-09-06,,https://en.wikipedia.org/wiki/1987_Italian_Grand_Prix
1987,12,Portuguese Grand Prix,estoril,1987-09-20,,https://en.wikipedia.org/wiki/1987_Portuguese_Grand_Prix
1987,13,Spanish Grand Prix,jerez,1987-09-27,,https://en.wikipedia.org/wiki/1987_Spanish_Grand_Prix
1987,14,Mexican Grand Prix,rodriguez,1987-10-18,,https://en.wikipedia.org/wiki/1987_Mexican_Grand_Prix
1987,15,Japanese Grand Prix,suzuka,1987-11-01,,https://en.wikipedia.org/wiki/1987_Japanese_Grand_Prix
1987,16,Australian Grand Prix,adelaide,1987-11-15,,https://en.wikipedia.org/wiki/1987_Australian_Grand_Prix
1988,1,Brazilian Grand Prix,jacarepagua,1988-04-03,,https://en.wikipedia.org/wiki/1988_Brazilian_Grand_Prix
1988,2,San Marino Grand Prix,imola,1988-05-01,,https://en.wikipedia.org/wiki/1988_San_Marino_Grand_Prix
1988,3,Monaco Grand Prix,monaco,1988-05-15,,https://en.wikipedia.org/wiki/1988_Monaco_Grand_Prix
1988,4,Mexican Grand Prix,rodriguez,1988-05-29,,https://en.wikipedia.org/wiki/1988_Mexican_Grand_Prix
1988,5,Canadian Grand Prix,villeneuve,1988-06-12,,https://en.wikipedia.org/wiki/1988_Canadian_Grand_Prix
1988,6,Detroit Grand Prix,detroit,1988-06-19,,https://en.wikipedia.org/wiki/1988_Detroit_Grand_Prix
1988,7,French Grand Prix,ricard,1988-07-03,,https://en.wikipedia.org/wiki/1988_French_Grand_Prix
1988,8,British Grand Prix,silverstone,1988-07-10,,https://en.wikipedia.org/wiki/1988_British_Grand_Prix
1988,9,German Grand Prix,hockenheimring,1988-07-24,,https://en.wikipedia.org/wiki/1988_German_Grand_Prix
1988,10,Hungarian Grand Prix,hungaroring,1988-08-07,,https://en.wikipedia.org/wiki/1988_Hungarian_Grand_Prix
1988,11,Belgian Grand Prix,spa,1988-08-28,,https://en.wikipedia.org/wiki/1988_Belgian_Grand_Prix
1988,12,Italian Grand Prix,monza,1988-09-11,,https://en.wikipedia.org/wiki/1988_Italian_Grand_Prix
1988,13,Portuguese Grand Prix,estoril,1988-09-25,,https://en.wikipedia.org/wiki/1988_Portuguese_Grand_Prix
1988,14,Spanish Grand Prix,jerez,1988-10-02,,https://en.wikipedia.org/wiki/1988_Spanish_Grand_Prix
1988,15,Japanese Grand Prix,suzuka,1988-10-30,,https://en.wikipedia.org/wiki/1988_Japanese_Grand_Prix
1988,16,Australian Grand Prix,adelaide,1988-11-13,,https://en.wikipedia.org/wiki/1988_Australian_Grand_Prix
1989,1,Brazilian Grand Prix,jacarepagua,1989-03-26,,https://en.wikipedia.org/wiki/1989_Brazilian_Grand_Prix
1989,2,San Marino Grand Prix,imola,1989-04-23,,https://en.wikipedia.org/wiki/1989_San_Marino_Grand_Prix
1989,3,Monaco Grand Prix,monaco,1989-05-07,,https://en.wikipedia.org/wiki/1989_Monaco_Grand_Prix
1989,4,Mexican Grand Prix,rodriguez,1989-05-28,,https://en.wikipedia.org/wiki/1989_Mexican_Grand_Prix
